feature_set,model,calibration,n_features,cv_type,n_folds,auc,logloss,brier,accuracy,f1,site_auc_mean,site_auc_std,site_logloss_mean,site_logloss_std,elapsed
SBR_PHYS_CNN,XGB,isotonic,217,site_aware,5,0.9242150172505741,0.36144145859972,0.10851106018712608,0.8604992657856094,0.8682385575589459,0.9260301815113348,0.061166532387223,0.318919530117297,0.1113066718978036,79.21310067176819
SBR_PHYS_CNN,XGB,temp,217,site_aware,5,0.9307343193913867,0.32863188637481533,0.1016341655293685,0.8619676945668135,0.8703448275862069,0.937984503923173,0.05992502474284952,0.31233233051019743,0.09690149728571992,79.21310067176819
SBR_PHYS_CNN,XGB,gamma,217,site_aware,5,0.9307343193913867,0.32863194094927234,0.10163417246352274,0.8619676945668135,0.8703448275862069,0.937984503923173,0.05992502474284952,0.31233242160933206,0.09690140787166736,79.21310067176819
SBR_PHYS_CNN,LGB,raw,217,site_aware,5,0.9287491429131159,0.35165379376578754,0.10587404881029934,0.8649045521292217,0.8731034482758621,0.937127539051773,0.06589685961403739,0.32808631121955134,0.14249821892378925,36.04877281188965
SBR_PHYS_CNN,LGB,platt,217,site_aware,5,0.9172777832195993,0.37821053125662846,0.11137773905750752,0.8671071953010279,0.8762816131237184,0.937127539051773,0.06589685961403739,0.3404228529989478,0.08475523930597524,36.04877281188965
SBR_PHYS_CNN,LGB,isotonic,217,site_aware,5,0.9251379501746826,0.3475384296929679,0.10587952474031276,0.8597650513950074,0.8650176678445229,0.9304911330060485,0.054765781499865385,0.3104722964313769,0.09378072533948527,36.04877281188965
SBR_PHYS_CNN,LGB,temp,217,site_aware,5,0.9293847476627376,0.33458297555113725,0.10298722835741485,0.8649045521292217,0.8731034482758621,0.937127539051773,0.06589685961403739,0.3146939314543551,0.09970484253686655,36.04877281188965
SBR_PHYS_CNN,LGB,gamma,217,site_aware,5,0.9293847476627376,0.3345830121660199,0.10298723376452039,0.8649045521292217,0.8731034482758621,0.937127539051773,0.06589685961403739,0.3146939729229347,0.0997048116795756,36.04877281188965
SBR_PCA,LR,raw,142,site_aware,5,0.9051142238330014,0.5634950221097023,0.13091888007250613,0.8318649045521292,0.8472314876584389,0.9356023191368019,0.05857347533171772,0.4442460869555225,0.4154540356725231,1.2842388153076172
SBR_PCA,LR,platt,142,site_aware,5,0.9032335303272712,0.41878715184823423,0.12841523644048358,0.8311306901615272,0.8472775564409031,0.9356023191368019,0.05857347533171772,0.36024515134498547,0.1772925544620277,1.2842388153076172
SBR_PCA,LR,isotonic,142,site_aware,5,0.9022779464742439,0.42386720438191444,0.12517609908129534,0.8318649045521292,0.8449559918754231,0.9290290517212474,0.060422544002111125,0.42622854695696943,0.4217367489978556,1.2842388153076172
SBR_PCA,LR,temp,142,site_aware,5,0.9087123561998672,0.3847561079954028,0.11929068241283634,0.8318649045521292,0.8472314876584389,0.9356044382298301,0.058572402679186904,0.36624279988725106,0.20733967854789734,1.2842388153076172
SBR_PCA,LR,gamma,142,site_aware,5,0.9051904093338122,0.40694329379486843,0.1216292816405504,0.8318649045521292,0.8472314876584389,0.9356044382298301,0.058572402679186904,0.3699517854538662,0.2167362984415105,1.2842388153076172
SBR_PCA,Ridge,raw,142,site_aware,5,0.9148572610224093,0.4872191176636226,0.1495693086896677,0.8377386196769456,0.8489405331510594,0.9294445262437476,0.05244953962053674,0.5022986352068589,0.15574379760894233,0.5037939548492432
SBR_PCA,Ridge,platt,142,site_aware,5,0.9118250780901384,0.493931249067764,0.15668423346464802,0.8281938325991189,0.85,0.9294445262437476,0.05244953962053674,0.4321466796191906,0.09486984531552982,0.5037939548492432
SBR_PCA,Ridge,isotonic,142,site_aware,5,0.8965781826492962,0.41645227430352183,0.1233952972392592,0.8318649045521292,0.8432580424366872,0.9323997200665088,0.05629277012247314,0.3604106650529578,0.1779630116311703,0.5037939548492432
SBR_PCA,Ridge,temp,142,site_aware,5,0.9140083368705173,0.4015588406676841,0.12105155059465801,0.8377386196769456,0.8489405331510594,0.9294445262437476,0.05244953962053674,0.36321875112549173,0.20517589375187348,0.5037939548492432
SBR_PCA,Ridge,gamma,142,site_aware,5,0.9156256462163016,0.4137820274936306,0.12407912995062721,0.8377386196769456,0.8489405331510594,0.9294445262437476,0.05244953962053674,0.3996900437048828,0.18069859656154422,0.5037939548492432
SBR_PCA,ET,raw,142,site_aware,5,0.8848075227740229,0.5097030778244508,0.1650053236392394,0.7944199706314243,0.7968069666182874,0.9317397276014173,0.06788535740665752,0.4698385649669546,0.08211916815472314,16.96727228164673
SBR_PCA,ET,platt,142,site_aware,5,0.853658536585366,0.5268031626534257,0.17348574034840417,0.7650513950073421,0.7759103641456583,0.9317397276014173,0.06788535740665752,0.4705600229088772,0.10866844038138539,16.96727228164673
SBR_PCA,ET,isotonic,142,site_aware,5,0.8653475691383421,0.5156260091448425,0.14980505916376852,0.8186490455212923,0.8295376121463078,0.9219413824916783,0.06871096266752516,0.42375908026431236,0.16688902984077159,16.96727228164673
SBR_PCA,ET,temp,142,site_aware,5,0.884624677572077,0.439494555345716,0.142412034051201,0.7944199706314243,0.7968069666182874,0.9317397276014173,0.06788535740665752,0.37755361307578467,0.11841150032446268,16.96727228164673
SBR_PCA,ET,gamma,142,site_aware,5,0.8848075227740229,0.4447426456315197,0.1436974541154353,0.7944199706314243,0.7968069666182874,0.9317397276014173,0.06788535740665752,0.3848193054309864,0.11500785027090832,16.96727228164673
SBR_PCA,XGB,raw,142,site_aware,5,0.9138929702550038,0.3857919345751445,0.11837129193873265,0.8384728340675477,0.8529411764705882,0.9521727187010581,0.05730313783478233,0.3005067735071879,0.19427073288512023,56.083223819732666
SBR_PCA,XGB,platt,142,site_aware,5,0.9015073845517573,0.4101768138003496,0.12532993524365818,0.8303964757709251,0.8461025982678214,0.9521727187010581,0.05730313783478233,0.33248425276209037,0.15640070139611592,56.083223819732666
SBR_PCA,XGB,isotonic,142,site_aware,5,0.8920342617080788,0.5069376051228603,0.12589570841721004,0.8414096916299559,0.8563829787234043,0.9438526047173914,0.059561039713984965,0.32638999440838534,0.19879893134185633,56.083223819732666
SBR_PCA,XGB,temp,142,site_aware,5,0.9139735092130038,0.3726153980014416,0.11623289999137112,0.8384728340675477,0.8529411764705882,0.9521727187010581,0.05730313783478233,0.2938505498483571,0.15511733018768317,56.083223819732666
